1,6.948357077
2,5.730867849
3,5.623844269
4,5.961514928
5,5.382923313
6,6.082931522
7,8.089606408
8,9.183717365
9,10.46526281
10,13.27128002
11,15.46829115
12,18.56713512
13,22.42098114
14,25.24335988
15,29.63754108
16,34.91885624
17,39.79358444
18,45.95712367
19,51.24598796
20,57.29384815
21,65.43282438
22,71.68711185
23,79.3337641
24,86.48762591
25,95.22780864
26,104.2554613
27,112.7245032
28,122.987849
29,132.3996807
30,142.8541531
31,153.3991467
32,165.7261391
33,176.2932514
34,187.6711445
35,200.9112725
36,212.5895782
37,226.4044318
38,238.8201649
39,253.035907
40,268.0984306
41,161.7692333
42,161.8856841
43,162.1421759
44,162.4494482
45,162.260739
46,163.0400779
47,163.5696806
48,164.7285611
49,164.7718091
50,164.1184799
51,165.562042
52,165.6074589
53,165.861539
54,166.9058381
55,167.5154998
56,167.8656401
57,167.3803912
58,168.0453938
59,168.7656317
60,169.4877726
